    1   0.000000 ASUSTekCOMPU_67:53:14 → ASUSTekCOMPU_dd:91:58 ARP 60 Who has 192.168.1.75? Tell 192.168.1.1
    2   0.000037 ASUSTekCOMPU_dd:91:58 → ASUSTekCOMPU_67:53:14 ARP 42 192.168.1.75 is at 14:da:e9:dd:91:58
    3   7.373910 ASUSTekCOMPU_dd:91:58 → ASUSTekCOMPU_67:53:14 ARP 42 Who has 192.168.1.1? Tell 192.168.1.75
    4   7.374184 ASUSTekCOMPU_67:53:14 → ASUSTekCOMPU_dd:91:58 ARP 60 192.168.1.1 is at ac:9e:17:67:53:14
    5  41.874715 ASUSTekCOMPU_dd:91:58 → Broadcast    ARP 42 Who has 192.168.1.21? Tell 192.168.1.75
    6  44.642471 ASUSTekCOMPU_dd:91:58 → Broadcast    ARP 42 Who has 192.168.1.21? Tell 192.168.1.75
    7  45.374519 ASUSTekCOMPU_dd:91:58 → Broadcast    ARP 42 Who has 192.168.1.21? Tell 192.168.1.75
    8  46.374428 ASUSTekCOMPU_dd:91:58 → Broadcast    ARP 42 Who has 192.168.1.21? Tell 192.168.1.75
    9  48.642967 ASUSTekCOMPU_dd:91:58 → Broadcast    ARP 42 Who has 192.168.1.21? Tell 192.168.1.75
   10  49.373999 ASUSTekCOMPU_dd:91:58 → Broadcast    ARP 42 Who has 192.168.1.21? Tell 192.168.1.75
   11  50.373865 ASUSTekCOMPU_dd:91:58 → Broadcast    ARP 42 Who has 192.168.1.21? Tell 192.168.1.75
   12  56.644984 ASUSTekCOMPU_dd:91:58 → Broadcast    ARP 42 Who has 192.168.1.21? Tell 192.168.1.75
   13  57.373975 ASUSTekCOMPU_dd:91:58 → Broadcast    ARP 42 Who has 192.168.1.21? Tell 192.168.1.75
   14  58.373839 ASUSTekCOMPU_dd:91:58 → Broadcast    ARP 42 Who has 192.168.1.21? Tell 192.168.1.75
   15  81.874346 ASUSTekCOMPU_dd:91:58 → Broadcast    ARP 42 Who has 192.168.1.16? Tell 192.168.1.75
   16  84.749711 ASUSTekCOMPU_dd:91:58 → Broadcast    ARP 42 Who has 192.168.1.16? Tell 192.168.1.75
   17  85.374344 ASUSTekCOMPU_dd:91:58 → Broadcast    ARP 42 Who has 192.168.1.16? Tell 192.168.1.75
   18  86.374232 ASUSTekCOMPU_dd:91:58 → Broadcast    ARP 42 Who has 192.168.1.16? Tell 192.168.1.75
   19  88.749434 ASUSTekCOMPU_dd:91:58 → Broadcast    ARP 42 Who has 192.168.1.16? Tell 192.168.1.75
   20  89.374461 ASUSTekCOMPU_dd:91:58 → Broadcast    ARP 42 Who has 192.168.1.16? Tell 192.168.1.75
   21  90.373817 ASUSTekCOMPU_dd:91:58 → Broadcast    ARP 42 Who has 192.168.1.16? Tell 192.168.1.75
   22  96.749596 ASUSTekCOMPU_dd:91:58 → Broadcast    ARP 42 Who has 192.168.1.16? Tell 192.168.1.75
   23  97.374738 ASUSTekCOMPU_dd:91:58 → Broadcast    ARP 42 Who has 192.168.1.16? Tell 192.168.1.75
   24  98.374577 ASUSTekCOMPU_dd:91:58 → Broadcast    ARP 42 Who has 192.168.1.16? Tell 192.168.1.75
